Группа,Преподаватель,Подгруппа,Дисциплина,Кабинет,Время,Дата
СС26-4,Романовская Е.В.,1,БД.04 Обществознание,,8.00-8.45 8.55-9.40,01.09.2026
СС26-4,Машер В.В.,1,ПОО.02 Введение в специальность,,10.00-10.45 11.05-11.50,01.09.2026
СС26-4,Седякина Д.Ю.,1,БД.06 Иностранный язык,,12.10-12.55 13.05-13.50,01.09.2026
ТОд23-1,Полякова М.В.,1,ОГСЭ.03 Иностранный язык в профессиональной деятельности,,18.00-18.45 18.55-19.40,01.09.2026
ТОд23-1,Пилипук В.А.,1,МДК.03.03 Тюнинг автомобилей,,8.00-8.45 8.55-9.40,01.09.2026
ТОд23-1,Григораш С.В.,1,МДК.03.04 Производственное оборудование,,10.00-10.45 11.05-11.50,01.09.2026
ТОд23-1,Григораш С.В.,1,МДК.03.04 Производственное оборудование,,12.10-12.55 13.05-13.50,01.09.2026
Э25-6,Зылёв А.Д.,1,ПД.03 Информатика,,8.00-8.45 8.55-9.40,01.09.2026
Э25-6,Григораш А.В.,1,БД.10 Биология,,10.00-10.45 11.05-11.50,01.09.2026
ЭСХ23-4,Глыдов В.Н.,1,МДК.04.03 Организация и выполнение грузовых перевозок автомобильным транспортом,,8.00-8.45 8.55-9.40,01.09.2026
ЭСХ23-4,Глыдов В.Н.,1,МДК.04.03 Организация и выполнение грузовых перевозок автомобильным транспортом,,10.00-10.45 11.05-11.50,01.09.2026
2367,Мещерякова Д.М.,1,"УП.04.01 Учебная практика ""Приготовление, оформление и подготовка к реализации холодных и горячих сладких блюд, десертов, напитков разнообразного ассортимента""", ,8.00-8.45 8.55-9.40,01.09.2026
2367,Улыбина Н.Г.,2,"УП.04.01 Учебная практика ""Приготовление, оформление и подготовка к реализации холодных и горячих сладких блюд, десертов, напитков разнообразного ассортимента""",118,8.00-8.45 8.55-9.40,01.09.2026
2367,Мещерякова Д.М.,1,"УП.04.01 Учебная практика ""Приготовление, оформление и подготовка к реализации холодных и горячих сладких блюд, десертов, напитков разнообразного ассортимента""", ,10.00-10.45 11.05-11.50,01.09.2026
2367,Улыбина Н.Г.,2,"УП.04.01 Учебная практика ""Приготовление, оформление и подготовка к реализации холодных и горячих сладких блюд, десертов, напитков разнообразного ассортимента""",118,10.00-10.45 11.05-11.50,01.09.2026
2367,Мещерякова Д.М.,1,"УП.04.01 Учебная практика ""Приготовление, оформление и подготовка к реализации холодных и горячих сладких блюд, десертов, напитков разнообразного ассортимента""", ,12.10-12.55 13.05-13.50,01.09.2026
2367,Улыбина Н.Г.,2,"УП.04.01 Учебная практика ""Приготовление, оформление и подготовка к реализации холодных и горячих сладких блюд, десертов, напитков разнообразного ассортимента""",118,12.10-12.55 13.05-13.50,01.09.2026
2577,Коробова Ю.А.,1,"ОП.04 Основы бизнеса, коммуникаций и финансовой грамотности",,8.00-8.45 8.55-9.40,01.09.2026
2577,Коробова Ю.А.,1,"ОП.04 Основы бизнеса, коммуникаций и финансовой грамотности",,10.00-10.45 11.05-11.50,01.09.2026
2577,Вахрамеева С.Н.,1,ОДП.12 Физика,,12.10-12.55 13.05-13.50,01.09.2026
2578,Шмелёва А.В.,1,ОДП.11 Математика,,8.00-8.45 8.55-9.40,01.09.2026
2578,Вахрамеева С.Н.,1,ОДП.13 Физика,,10.00-10.45 11.05-11.50,01.09.2026
2578,Бурундуков Е.В.,1,ОДБ.10 Биология,,12.10-12.55 13.05-13.50,01.09.2026
2579,Бурундуков Е.В.,1,ОДБ.10 Биология,,8.00-8.45 8.55-9.40,01.09.2026
2579,Бурундуков Е.В.,1,ОДБ.10 Биология,,10.00-10.45 11.05-11.50,01.09.2026
2579,Деньгуб А.А.,1,ОДП.11 Математика,,12.10-12.55 13.05-13.50,01.09.2026
2580,Григораш А.В.,1,ОДБ.05 География,,8.00-8.45 8.55-9.40,01.09.2026
2580,Пилипук В.А.,1,МДК.02.01 Диагностика автотранспортных средств,,10.00-10.45 11.05-11.50,01.09.2026
2580,Григораш А.В.,1,ОДБ.05 География,,12.10-12.55 13.05-13.50,01.09.2026
2581,Азиатцев Е.С.,1,"УП.01.01 Учебная практика ""Выполнение работ по ремонту и наладке сельскохозяйственных машин и оборудования""",№11 гараж,8.00-8.45 8.55-9.40,01.09.2026
2581,Зуев Н.А.,2,"УП.01.01 Учебная практика ""Выполнение работ по ремонту и наладке сельскохозяйственных машин и оборудования""", ,8.00-8.45 8.55-9.40,01.09.2026
2581,Азиатцев Е.С.,1,"УП.01.01 Учебная практика ""Выполнение работ по ремонту и наладке сельскохозяйственных машин и оборудования""",№11 гараж,10.00-10.45 11.05-11.50,01.09.2026
2581,Зуев Н.А.,2,"УП.01.01 Учебная практика ""Выполнение работ по ремонту и наладке сельскохозяйственных машин и оборудования""", ,10.00-10.45 11.05-11.50,01.09.2026
2581,Азиатцев Е.С.,1,"УП.01.01 Учебная практика ""Выполнение работ по ремонту и наладке сельскохозяйственных машин и оборудования""",№11 гараж,12.10-12.55 13.05-13.50,01.09.2026
2581,Зуев Н.А.,2,"УП.01.01 Учебная практика ""Выполнение работ по ремонту и наладке сельскохозяйственных машин и оборудования""", ,12.10-12.55 13.05-13.50,01.09.2026
2582,Вострецова Н.В.,1,ОПЦ.10 Экологические основы природопользования,,8.00-8.45 8.55-9.40,01.09.2026
2582,Вострецова Н.В.,1,ОПЦ.10 Экологические основы природопользования,,10.00-10.45 11.05-11.50,01.09.2026
2582,Волчихин К.А.,1,ОДБ.07 Физическая культура,,12.10-12.55 13.05-13.50,01.09.2026
2583,Васькина Н.И.,1,"ПП.01.01 Производственная практика ""Документирование управленческой деятельности и организация работы с документами""",,8.00-8.45 8.55-9.40,01.09.2026
2583,Васькина Н.И.,1,"ПП.01.01 Производственная практика ""Документирование управленческой деятельности и организация работы с документами""",,10.00-10.45 11.05-11.50,01.09.2026
2583,Васькина Н.И.,1,"ПП.01.01 Производственная практика ""Документирование управленческой деятельности и организация работы с документами""",,12.10-12.55 13.05-13.50,01.09.2026
2684,Деньгуб А.А.,1,ПОО.02 Введение в профессию,,8.00-8.45 8.55-9.40,01.09.2026
2684,Деньгуб А.А.,1,ПОО.02 Введение в профессию,,10.00-10.45 11.05-11.50,01.09.2026
2684,Еськова И.П.,1,ОДП.11 Математика,,12.10-12.55 13.05-13.50,01.09.2026
2685,Григораш С.В.,1,ОДП.13 Физика,,8.00-8.45 8.55-9.40,01.09.2026
2685,Волчихин К.А.,1,ОДБ.07 Физическая культура,,10.00-10.45 11.05-11.50,01.09.2026
2685,Пуртова А.В.,1,ОДБ.03 История,,12.10-12.55 13.05-13.50,01.09.2026
2686,Полякова М.В.,1,ОДБ.03 История,,8.00-8.45 8.55-9.40,01.09.2026
2686,Тропина Н.Ю.,1,ОДБ.01 Русский язык,,10.00-10.45 11.05-11.50,01.09.2026
2686,Пилипук В.А.,1,ПОО.02 Введение в профессию,,12.10-12.55 13.05-13.50,01.09.2026
2687,Алта В.В.,1,ОП.03 Материаловедение,,8.00-8.45 8.55-9.40,01.09.2026
2687,Богданов М.В.,1,ОДБ.09 Химия,,10.00-10.45 11.05-11.50,01.09.2026
2687,Полякова М.В.,1,ОДБ.03 История,,12.10-12.55 13.05-13.50,01.09.2026
2688,Панфилова О.Л.,1,ОДБ.02 Литература,,8.00-8.45 8.55-9.40,01.09.2026
2688,Панфилова О.Л.,1,ОДБ.02 Литература,,10.00-10.45 11.05-11.50,01.09.2026
2688,Тропина Н.Ю.,1,ОДБ.01 Русский язык,,12.10-12.55 13.05-13.50,01.09.2026
